# DM    Sigma   Time (s)   Sample   Downfact   Width_int   With_obs   Spec_ind   Scat_tau_ref  Tsamp (s)  BW_MHz  Freq_hi  Nchan  Freq_ref
 311.840  55.28    0.7290       576     1  0.001040    0.001638     3.12    0.0000   0.0013    336.00   1500.00   336   1332.00
1642.920  39.65    6.8444      5408     1  0.000220    0.001285    -2.79    0.0000   0.0013    336.00   1500.00   336   1332.00
1017.140  33.76   15.7466     12442     2  0.003320    0.003553     3.57    0.0000   0.0013    336.00   1500.00   336   1332.00
1016.870  49.49   20.9305     16538     1  0.000280    0.001296     1.62    0.0000   0.0013    336.00   1500.00   336   1332.00
 965.900  47.42   25.9942     20539     1  0.000690    0.001441     0.26    0.0000   0.0013    336.00   1500.00   336   1332.00
 883.030  41.69   30.9844     24482     1  0.001360    0.001858     1.21    0.0000   0.0013    336.00   1500.00   336   1332.00
 746.030  55.54   35.8481     28325     1  0.000490    0.001357    -3.79    0.0000   0.0013    336.00   1500.00   336   1332.00
  15.340  66.59   39.3222     31070     1  0.000500    0.001361    -1.60    0.0000   0.0013    336.00   1500.00   336   1332.00
 684.360  44.03   43.8872     34677     1  0.001060    0.001651     0.79    0.0000   0.0013    336.00   1500.00   336   1332.00
 604.690  48.99   46.7006     36900     1  0.001080    0.001664    -0.28    0.0000   0.0013    336.00   1500.00   336   1332.00
 464.030  63.79   49.3711     39010     1  0.000250    0.001290     1.99    0.0000   0.0013    336.00   1500.00   336   1332.00
1354.410  43.81   54.4537     43026     1  0.001270    0.001793    -3.97    0.0000   0.0013    336.00   1500.00   336   1332.00
1670.910  36.46   60.3780     47707     1  0.000900    0.001553    -0.85    0.0000   0.0013    336.00   1500.00   336   1332.00
 764.890  44.30   68.6259     54224     1  0.001150    0.001710    -0.74    0.0000   0.0013    336.00   1500.00   336   1332.00
1876.470  37.90   76.4106     60375     1  0.000850    0.001525     0.49    0.0000   0.0013    336.00   1500.00   336   1332.00
1283.100  42.79   85.3900     67470     1  0.001080    0.001664    -2.48    0.0000   0.0013    336.00   1500.00   336   1332.00
1340.550  46.64   90.7081     71672     1  0.000060    0.001267     2.63    0.0000   0.0013    336.00   1500.00   336   1332.00
 484.400  31.45   93.8885     74185     2  0.003210    0.003450     0.45    0.0000   0.0013    336.00   1500.00   336   1332.00
1245.030  39.21   98.6687     77962     1  0.001200    0.001744    -2.86    0.0000   0.0013    336.00   1500.00   336   1332.00
1312.570  41.73  104.0095     82182     1  0.000960    0.001589    -3.66    0.0000   0.0013    336.00   1500.00   336   1332.00
 698.310  42.29  107.7570     85143     1  0.001850    0.002241     0.20    0.0000   0.0013    336.00   1500.00   336   1332.00
  33.100  54.99  109.1998     86283     1  0.000930    0.001571     3.40    0.0000   0.0013    336.00   1500.00   336   1332.00
 667.170  20.42  113.6825     89825     6  0.008030    0.008129     0.96    0.0000   0.0013    336.00   1500.00   336   1332.00
 180.460  38.91  115.5430     91295     1  0.001860    0.002250    -1.55    0.0000   0.0013    336.00   1500.00   336   1332.00
1479.960  36.06  121.5837     96068     2  0.002200    0.002538    -3.60    0.0000   0.0013    336.00   1500.00   336   1332.00
