# DM  fluence  width  spec_ind  disp_ind
104.00 7.000 0.00159 -1.33 2.0000
916.09 7.000 0.00078 -0.98 2.0000
168.46 7.000 0.00202 3.35 2.0000
1511.46 7.000 0.00138 -2.90 2.0000
260.90 7.000 0.00073 -3.60 2.0000
1282.00 7.000 0.00073 2.42 2.0000
851.45 7.000 0.00041 2.25 2.0000
732.63 7.000 0.00266 0.56 2.0000
626.22 7.000 0.00093 -3.45 2.0000
1686.18 7.000 0.00184 -2.86 2.0000
1815.96 7.000 0.00129 2.16 2.0000
117.61 7.000 0.00121 -2.96 2.0000
757.84 7.000 0.00134 -3.79 2.0000
1403.78 7.000 0.00029 1.64 2.0000
734.13 7.000 0.00238 3.06 2.0000
1175.93 7.000 0.00044 -0.73 2.0000
1544.78 7.000 0.00084 -3.08 2.0000
778.59 7.000 0.00368 2.85 2.0000
1434.43 7.000 0.00054 -1.20 2.0000
313.47 7.000 0.00225 1.47 2.0000
1094.45 7.000 0.00295 -2.84 2.0000
1762.91 7.000 0.00188 -3.81 2.0000
650.48 7.000 0.00249 3.61 2.0000
1244.53 7.000 0.00050 0.86 2.0000
1753.23 7.000 0.00067 -2.23 2.0000
611.84 7.000 0.00511 2.27 2.0000
797.66 7.000 0.00040 3.97 2.0000
1295.98 7.000 0.00035 -2.10 2.0000
25.01 7.000 0.00045 1.61 2.0000
1172.46 7.000 0.00749 3.80 2.0000
1688.49 7.000 0.00103 2.86 2.0000
1521.62 7.000 0.00323 -1.00 2.0000
1645.98 7.000 0.00051 -2.12 2.0000
1073.20 7.000 0.00062 1.89 2.0000
307.74 7.000 0.00029 -3.16 2.0000
1972.52 7.000 0.00049 2.17 2.0000
1385.26 7.000 0.00097 2.63 2.0000
1255.37 7.000 0.00042 2.84 2.0000
1275.38 7.000 0.00185 2.98 2.0000
719.20 7.000 0.00246 2.19 2.0000
957.05 7.000 0.00030 -1.36 2.0000
1076.16 7.000 0.00108 -0.91 2.0000
1717.91 7.000 0.00178 1.32 2.0000
299.64 7.000 0.00047 2.82 2.0000
1062.70 7.000 0.00209 2.51 2.0000
1901.16 7.000 0.00040 -2.81 2.0000
236.12 7.000 0.00193 0.23 2.0000
1083.84 7.000 0.00234 1.91 2.0000
1081.99 7.000 0.00156 2.48 2.0000
874.62 7.000 0.00081 1.32 2.0000
181.40 7.000 0.00292 -3.19 2.0000
