# DM      Sigma      Time (s)     Sample    Downfact    Width_int    With_obs    Spec_ind    Scat_tau_ref
1439.952    6.62    4.56679      55747    11    0.000900    0.000904    0.498700    0.000000
 216.955    7.10    5.82812      71144    9    0.000800    0.000804    1.244200    0.000000
 1759.577    5.71    7.68434      93803    30    0.002500    0.002501    -1.183600    0.000000
 617.916    8.40    13.68285     167027    6    0.000500    0.000507    -0.025600    0.000000
 1017.362    3.50    15.87266     193758    43    0.003600    0.003601    3.703600    0.000000
 1559.762    8.24    22.08399     269580    11    0.000900    0.000904    -2.861600    0.000000
 424.286    12.06    26.05728     318082    3    0.000300    0.000311    -3.232300    0.000000
 1886.613    7.43    27.38397     334277    7    0.000600    0.000606    0.353000    0.000000
 1588.121    9.16    34.06029     415775    3    0.000300    0.000311    -3.108900    0.000000
 872.745    3.57    37.65567     459664    41    0.003400    0.003401    3.067300    0.000000
 262.662    8.42    40.47929     494132    7    0.000600    0.000606    2.818300    0.000000
 467.419    4.35    42.33470     516781    28    0.002300    0.002301    1.692200    0.000000
 994.262    5.67    44.61707     544642    59    0.004900    0.004901    -3.344800    0.000000
 84.358    3.83    48.42496     591125    48    0.004000    0.004001    -1.144700    0.000000
 1195.666    3.45    52.10931     636100    54    0.004500    0.004501    -1.470100    0.000000
 1671.958    9.30    55.14101     673108    8    0.000700    0.000705    0.144000    0.000000
 1414.087    3.94    61.17892     746813    51    0.004200    0.004201    -3.544300    0.000000
 729.762    5.14    67.02727     818204    17    0.001400    0.001402    0.043200    0.000000
 1868.155    9.60    71.95787     878392    2    0.000200    0.000216    0.674000    0.000000
 325.726    7.16    73.50346     897259    9    0.000800    0.000804    -2.481300    0.000000
 1502.449    4.98    78.01348     952313    12    0.001000    0.001003    -2.233200    0.000000
 369.201    7.58    80.12710     978114    8    0.000700    0.000705    3.161300    0.000000
 1074.037    8.73    81.84644     999102    6    0.000500    0.000507    1.845400    0.000000
 66.666    20.73    86.69823    1058328    1    0.000100    0.000129    -2.114400    0.000000
 901.754    7.38    88.33237    1078276    12    0.001000    0.001003    -0.630900    0.000000
 1745.246    5.16    92.73270    1131991    17    0.001400    0.001402    -2.107100    0.000000
 1852.791    4.87    99.52920    1214956    15    0.001300    0.001303    -1.770000    0.000000
 725.512    2.58    102.65551    1253119    46    0.003800    0.003801    -2.718100    0.000000
 890.231    7.45    104.88324    1280313    11    0.000900    0.000904    2.925000    0.000000
 1977.160    4.99    110.04117    1343276    19    0.001600    0.001602    3.491300    0.000000
 128.618    5.83    117.31722    1432095    15    0.001300    0.001303    1.438100    0.000000
 1633.242    4.71    120.94251    1476349    15    0.001300    0.001303    -2.780900    0.000000
 534.175    8.15    125.61195    1533349    9    0.000800    0.000804    3.345900    0.000000
 415.993    3.48    127.11649    1551715    63    0.005200    0.005201    -2.139500    0.000000
 1738.763    3.36    129.54804    1581397    59    0.004900    0.004901    -1.064500    0.000000
 672.792    7.24    134.44465    1641170    9    0.000800    0.000804    -0.827400    0.000000
 1183.621    4.32    136.43506    1665467    25    0.002100    0.002102    0.914500    0.000000
 798.356    10.43    142.59233    1740629    6    0.000500    0.000507    3.314900    0.000000
 586.771    14.11    144.82866    1767928    2    0.000200    0.000216    3.627500    0.000000
 646.382    9.87    147.63893    1802233    6    0.000500    0.000507    3.115500    0.000000
 1766.940    8.90    152.69528    1863956    8    0.000700    0.000705    -0.628700    0.000000
 1751.200    3.63    155.96675    1903891    53    0.004400    0.004401    1.524300    0.000000
 1042.660    3.27    162.57450    1984552    79    0.006500    0.006501    -1.384300    0.000000
 1566.055    2.97    169.16832    2065043    42    0.003500    0.003501    2.507400    0.000000
 1093.382    12.01    172.74454    2108698    3    0.000300    0.000311    -0.503500    0.000000
 557.473    10.52    176.97907    2160389    4    0.000400    0.000408    -2.168200    0.000000
 531.442    3.20    179.78958    2194697    51    0.004200    0.004201    0.195500    0.000000
 1093.372    8.57    184.52406    2252491    4    0.000400    0.000408    3.751800    0.000000
 1174.624    9.20    189.02278    2307407    7    0.000600    0.000606    2.930900    0.000000
 495.765    8.44    194.24092    2371105    6    0.000500    0.000507    0.599300    0.000000
 
