# DM      Sigma      Time (s)     Sample    Downfact    Width_int    With_obs    Spec_ind    Scat_tau_ref
936.893    6.82    2.17612      26564    8    0.000700    0.000705    -2.355000    0.000000
 1844.565    6.52    5.09297      62170    15    0.001300    0.001303    -2.080800    0.000000
 1637.397    6.81    11.15832     136210    14    0.001200    0.001203    -3.208000    0.000000
 261.943    9.52    13.97588     170604    6    0.000500    0.000507    1.255300    0.000000
 1056.335    4.54    18.14290     221471    34    0.002800    0.002801    0.184900    0.000000
 253.271    4.63    21.09268     257479    25    0.002100    0.002102    0.412000    0.000000
 806.770    8.77    22.25324     271646    7    0.000600    0.000606    2.191500    0.000000
 568.168    3.25    25.50751     311371    25    0.002100    0.002102    -0.751800    0.000000
 1789.203    10.62    30.63120     373916    3    0.000300    0.000311    -0.488100    0.000000
 1332.566    5.40    35.73932     436271    19    0.001600    0.001602    -3.142300    0.000000
 1078.470    4.75    40.39475     493100    102    0.008400    0.008400    -3.520800    0.000000
 1116.131    7.10    47.08786     574803    12    0.001000    0.001003    0.873100    0.000000
 1535.349    2.71    50.68218     618679    75    0.006200    0.006201    -3.001500    0.000000
 185.544    9.07    54.40954     664179    7    0.000600    0.000606    0.657500    0.000000
 1427.106    10.00    57.82766     705904    7    0.000600    0.000606    0.914100    0.000000
 545.618    5.10    61.17868     746810    15    0.001300    0.001303    0.853000    0.000000
 498.071    10.20    63.79438     778740    7    0.000600    0.000606    -2.070000    0.000000
 239.083    9.08    65.93053     804816    7    0.000600    0.000606    -1.848900    0.000000
 1367.479    7.78    67.51338     824138    9    0.000800    0.000804    2.082800    0.000000
 1451.398    6.68    73.45127     896622    12    0.001000    0.001003    1.412800    0.000000
 1079.786    5.38    79.50950     970575    32    0.002700    0.002701    -1.606900    0.000000
 1762.389    11.36    86.26176    1053000    1    0.000100    0.000129    0.917800    0.000000
 1949.842    8.24    91.51717    1117153    7    0.000600    0.000606    3.240300    0.000000
 1736.796    9.21    102.31349    1248944    6    0.000500    0.000507    0.992000    0.000000
 1955.274    9.20    113.66638    1387529    8    0.000700    0.000705    -3.153300    0.000000
 1456.078    8.63    117.82513    1438295    6    0.000500    0.000507    -3.276500    0.000000
 952.405    7.13    121.45787    1482640    12    0.001000    0.001003    3.548200    0.000000
 645.515    8.99    124.03597    1514111    7    0.000600    0.000606    -1.904200    0.000000
 1216.698    7.13    130.12541    1588445    12    0.001000    0.001003    -3.160400    0.000000
 741.032    4.29    131.17006    1601197    67    0.005500    0.005501    0.167500    0.000000
 1778.950    9.70    137.29956    1676020    4    0.000400    0.000408    1.336800    0.000000
 600.418    5.93    139.33511    1700868    14    0.001200    0.001203    -0.976300    0.000000
 1144.230    7.83    143.37507    1750184    8    0.000700    0.000705    -3.269200    0.000000
 266.542    10.73    147.51941    1800774    6    0.000500    0.000507    -2.093000    0.000000
 483.700    4.78    149.20172    1821310    23    0.001900    0.001902    -3.597400    0.000000
 1276.466    4.89    155.18163    1894307    23    0.001900    0.001902    -0.841400    0.000000
 78.247    6.47    157.30598    1920239    18    0.001500    0.001502    0.309400    0.000000
 88.166    7.34    157.47826    1922342    14    0.001200    0.001203    0.941400    0.000000
 1411.896    7.43    160.05464    1953792    8    0.000700    0.000705    3.827200    0.000000
 840.045    4.66    164.86130    2012467    15    0.001300    0.001303    -0.254900    0.000000
 1804.471    11.01    170.22329    2077921    1    0.000100    0.000129    2.477200    0.000000
 1524.758    5.25    173.59561    2119087    31    0.002600    0.002601    0.534400    0.000000
 851.209    11.38    178.53628    2179398    6    0.000500    0.000507    -3.905700    0.000000
 1877.489    2.74    183.97839    2245830    87    0.007200    0.007200    2.189700    0.000000
 501.096    8.87    186.25487    2273619    8    0.000700    0.000705    -2.229200    0.000000
 1958.399    10.08    192.02425    2344046    7    0.000600    0.000606    2.891900    0.000000
 548.982    5.94    198.90799    2428076    23    0.001900    0.001902    3.616700    0.000000
 1686.758    2.93    203.78960    2487666    59    0.004900    0.004901    3.435400    0.000000
 1819.900    6.67    208.92164    2550313    25    0.002100    0.002102    -0.778500    0.000000
 1171.388    11.88    214.51702    2618616    3    0.000300    0.000311    0.749700    0.000000
 415.441    8.61    218.05859    2661848    7    0.000600    0.000606    0.174300    0.000000
 1105.650    6.90    219.36603    2677808    8    0.000700    0.000705    0.938600    0.000000
 1454.799    9.29    226.08323    2759805    4    0.000400    0.000408    0.067100    0.000000
 170.688    10.55    229.84729    2805753    6    0.000500    0.000507    -0.529600    0.000000
 1544.578    3.43    234.53622    2862991    62    0.005100    0.005101    1.221300    0.000000
 277.022    4.15    237.02413    2893361    32    0.002700    0.002701    -2.770300    0.000000
 982.512    7.74    239.75428    2926688    8    0.000700    0.000705    1.104900    0.000000
 62.060    10.94    242.69677    2962607    6    0.000500    0.000507    0.312800    0.000000
 220.398    17.31    244.03190    2978905    2    0.000200    0.000216    3.613700    0.000000
 1367.067    6.52    245.13757    2992402    13    0.001100    0.001103    3.583400    0.000000
 834.289    6.22    251.27100    3067273    14    0.001200    0.001203    2.288300    0.000000
